business_type,industry,monthly_revenue,monthly_expenses,monthly_profit,marketing_budget,sales_channel,years_in_business,employee_count,customer_retention_rate,customer_acquisition_cost,location_type,competition_level,market_growth_rate,digital_presence_score,inventory_turnover_rate,operational_cost_ratio,average_order_value,customer_satisfaction_score,brand_strength_score,starting_budget,founder_experience_years,team_size,target_market_size,product_uniqueness_score,marketing_strategy_score,funding_type,business_model_type,scalability_score,innovation_score,customer_validation_score,future_6_month_profit
Trading,Food,83232,30417,52815,16188,Offline,4,120,72,19,Urban,9,9,5,1.25,0.41,453,88,53,390676,11,22,425842,3,3,Bootstrapped,Hybrid,7,7,7,72544
Manufacturing,Food,124601,22812,101789,4179,Online,7,110,69,152,Urban,2,4,8,2.3,0.5,714,87,95,464170,4,16,448242,5,1,VC,B2C,3,8,8,101346
Manufacturing,IT,165342,30523,134819,21991,Both,8,8,52,43,Urban,9,1,7,1.32,0.47,976,64,80,304205,9,7,830580,9,8,Bank Loan,Hybrid,7,7,6,144119
Manufacturing,Education,105076,53402,51674,7810,Online,6,51,53,85,Rural,6,3,4,6.19,0.81,1466,89,86,466280,16,28,861890,9,6,Bootstrapped,B2B,4,7,8,71633
Services,Education,156213,43884,112329,4708,Offline,8,20,80,179,Rural,2,14,9,2.88,0.68,825,76,53,269571,15,26,261514,5,5,Angel,B2B,6,1,1,132214
Services,IT,193784,148682,45102,3104,Both,9,131,73,113,Urban,7,11,6,7.45,0.72,266,76,83,325194,9,30,356184,6,6,Bank Loan,B2C,4,4,5,52169
Trading,FMCG,152610,56520,96090,2174,Offline,13,187,50,90,Urban,3,10,4,6.5,0.74,468,78,92,84675,3,41,800605,1,2,VC,B2B,7,4,8,109377
Trading,Food,179034,85533,93501,19376,Offline,1,172,68,36,Rural,6,8,3,7.67,0.44,1678,69,74,250339,4,45,37798,2,8,Bootstrapped,Hybrid,6,3,9,111917
Trading,Healthcare,147815,142426,5389,26335,Offline,7,87,67,81,Rural,1,1,5,3.15,0.51,1524,65,82,191880,14,6,273031,1,2,Bootstrapped,B2C,9,3,6,12278
Services,IT,142746,41049,101697,20990,Offline,7,37,62,93,Urban,6,7,7,2.39,0.55,1945,88,69,139116,18,11,784504,9,8,Bootstrapped,Hybrid,1,2,6,108950
Trading,FMCG,115556,77875,37681,17441,Online,10,173,76,186,Rural,7,11,3,2.44,0.59,307,61,73,126361,6,23,624553,7,7,Bank Loan,Hybrid,6,4,9,34669
Services,Construction,131541,76842,54699,28990,Online,2,162,83,159,Urban,3,6,9,5.95,0.67,844,95,51,79084,4,2,536930,9,5,VC,Hybrid,6,3,5,53253
Services,Healthcare,119575,16813,102762,22504,Online,13,32,50,122,Urban,4,7,1,4.79,0.86,1773,95,58,393276,14,43,656047,6,6,Bank Loan,B2B,1,2,6,116607
Services,Healthcare,98513,65516,32997,29918,Both,4,97,58,164,Rural,3,8,1,4.83,0.7,311,99,88,271552,15,33,629955,1,9,Bank Loan,Hybrid,5,2,8,51675
Services,FMCG,30442,88788,-58346,29586,Online,14,62,82,84,Urban,2,14,7,6.87,0.78,374,95,62,163143,14,4,372441,6,1,Bank Loan,Hybrid,7,8,8,-41921
Manufacturing,IT,184530,97409,87121,25624,Online,13,138,92,98,Rural,7,1,1,7.27,0.7,667,80,51,332169,11,39,487177,8,4,Bank Loan,B2C,2,5,2,105369
Services,Construction,175489,96982,78507,12751,Offline,11,190,62,13,Urban,6,7,6,1.2,0.43,1252,62,63,126709,18,2,863605,6,5,Angel,B2B,5,1,5,81336
Trading,Textile,69393,62406,6987,19186,Offline,4,73,50,149,Rural,8,10,7,2.78,0.75,151,83,74,292998,14,33,775791,5,4,Bootstrapped,Hybrid,1,7,1,17941
Manufacturing,Education,43408,139116,-95708,2136,Both,6,113,84,48,Rural,6,9,6,6.56,0.83,175,82,65,328466,9,30,889854,5,7,VC,B2B,4,7,1,-93736
Trading,Healthcare,129814,138364,-8550,16955,Both,2,98,71,42,Rural,1,14,3,2.69,0.51,1119,95,83,305688,10,29,918298,7,7,Angel,B2B,6,3,6,-4713
Services,Food,64942,18453,46489,24167,Both,8,111,58,184,Rural,1,14,1,4.79,0.72,274,60,78,211121,19,14,721413,1,2,Bank Loan,B2B,1,5,7,45996
Trading,Education,104607,134639,-30032,8160,Both,7,17,54,35,Urban,1,3,7,6.41,0.87,292,76,92,377192,3,16,532780,5,9,Angel,B2B,6,9,8,-19391
Manufacturing,Food,79191,136948,-57757,11813,Online,9,112,90,166,Urban,3,3,2,3.83,0.59,238,89,89,73185,19,49,837585,8,6,Bank Loan,B2C,6,9,8,-62253
Manufacturing,Education,138094,26064,112030,6780,Offline,2,70,62,54,Rural,6,4,3,2.54,0.51,1955,99,53,72010,11,32,119162,2,1,Angel,Hybrid,9,2,8,118342
Trading,Healthcare,98542,69319,29223,28531,Offline,8,62,86,121,Urban,7,10,4,1.98,0.7,1827,88,56,85931,9,29,568981,1,7,Angel,B2C,3,5,4,39991
Manufacturing,IT,64516,102796,-38280,25465,Offline,12,174,62,20,Rural,6,8,8,3.2,0.44,1054,61,79,56859,10,45,645274,1,2,Angel,Hybrid,2,3,7,-23251
Services,Healthcare,131249,22485,108764,18767,Both,14,42,52,175,Urban,3,14,1,4.7,0.8,1501,72,76,429747,7,23,662873,7,5,Bootstrapped,B2B,4,7,7,117444
Trading,Food,188773,127599,61174,22324,Offline,4,165,77,145,Rural,1,5,6,1.24,0.83,1798,74,54,200331,14,49,135829,9,8,VC,B2C,8,8,7,72551
Trading,Education,32391,117476,-85085,17623,Both,11,186,87,185,Rural,4,12,3,7.98,0.44,1778,75,62,375488,3,12,333258,5,3,Angel,Hybrid,6,5,3,-67668
Trading,IT,184005,58469,125536,10305,Offline,1,104,81,192,Urban,3,3,5,7.05,0.65,636,63,78,120014,19,44,439505,9,4,Bank Loan,B2B,3,7,8,121455
Manufacturing,Textile,184490,20741,163749,8838,Online,12,195,54,60,Urban,5,12,2,5.55,0.78,1591,97,74,468829,11,33,759450,2,7,Bank Loan,B2B,6,2,8,172030
Services,Construction,198646,51182,147464,2570,Both,9,186,59,159,Rural,3,1,7,5.2,0.41,505,81,99,204542,17,30,69821,2,4,Bootstrapped,B2B,2,1,7,160296
Trading,Food,134894,101795,33099,3141,Both,4,170,52,165,Rural,8,10,2,5.01,0.47,1927,85,60,336663,12,41,390714,6,4,VC,B2B,8,8,1,29418
Services,IT,172191,54350,117841,27517,Online,14,11,65,54,Rural,8,11,5,6.6,0.83,1196,94,69,223860,10,18,318974,7,9,VC,B2C,8,5,4,126296
Trading,Food,165787,143308,22479,17627,Both,1,21,91,103,Urban,3,14,2,1.5,0.43,1925,79,99,82101,10,33,55619,5,4,Bootstrapped,Hybrid,3,5,9,23229
Services,IT,188171,76799,111372,26685,Offline,8,97,79,65,Urban,7,12,1,3.48,0.48,135,96,75,323493,4,32,834657,6,8,VC,Hybrid,8,7,6,128782
Manufacturing,Construction,195745,142006,53739,14298,Online,12,50,81,199,Rural,5,6,8,3.13,0.49,1235,82,66,462736,10,43,786372,8,2,VC,B2C,9,6,9,72665
Services,Food,53455,69219,-15764,10080,Offline,10,19,64,72,Urban,7,7,1,6.36,0.86,1341,86,70,104353,13,17,221144,6,3,Bank Loan,Hybrid,7,9,3,-7541
Services,FMCG,171599,38569,133030,7558,Online,7,191,74,71,Rural,8,13,1,6.72,0.61,1712,85,63,444846,4,40,842583,9,6,VC,B2C,6,8,5,139181
Trading,IT,95485,69722,25763,20050,Online,13,154,81,175,Rural,8,7,8,3.6,0.77,1667,94,59,398546,12,32,977004,5,4,Angel,B2C,9,9,5,44726
Trading,FMCG,197747,35862,161885,24915,Online,13,49,91,123,Rural,1,4,4,6.25,0.39,580,60,64,232220,17,25,209737,8,2,Angel,Hybrid,7,8,8,168554
Services,Education,118618,128892,-10274,7592,Both,13,20,51,154,Urban,7,13,2,3.79,0.8,880,80,79,490980,16,18,365239,3,4,Bank Loan,B2B,9,4,5,-6927
Trading,FMCG,67574,136757,-69183,3848,Online,4,141,50,53,Urban,3,11,2,2.51,0.5,239,92,94,139037,8,9,28074,1,8,Angel,B2C,3,7,1,-53287
Trading,Healthcare,136192,122228,13964,5924,Both,8,155,55,95,Urban,2,6,5,6.25,0.56,1835,94,60,204455,17,22,295810,2,8,Bank Loan,B2B,3,7,1,18904
Trading,Healthcare,29221,16051,13170,11765,Offline,7,41,53,186,Urban,4,10,4,5.75,0.63,1351,78,84,236093,8,29,277136,2,8,Bootstrapped,Hybrid,1,8,8,20395
Manufacturing,Construction,68847,35389,33458,27498,Offline,9,115,65,193,Urban,8,7,9,7.39,0.41,1019,68,75,288483,8,11,828386,3,8,Bootstrapped,B2B,5,3,1,40213
Manufacturing,IT,163464,59724,103740,15998,Offline,2,99,69,149,Rural,7,4,7,3.09,0.36,1369,84,51,316909,3,22,121576,4,1,Angel,B2C,4,6,5,114381
Services,Food,26589,108664,-82075,20725,Online,13,147,64,55,Rural,9,5,8,1.82,0.63,724,82,53,206177,3,23,842359,7,3,Bootstrapped,Hybrid,8,2,9,-73904
Manufacturing,Education,158419,48776,109643,25030,Both,11,65,54,131,Urban,5,7,5,1.83,0.89,1984,64,58,342410,16,3,427216,8,3,Bootstrapped,Hybrid,7,8,6,108426
Services,Education,127227,132192,-4965,22190,Online,10,188,83,40,Rural,4,9,1,4.21,0.44,210,60,50,341576,10,43,293028,1,6,Angel,B2C,6,3,8,-1159
Trading,Education,190685,135592,55093,28613,Offline,10,145,66,175,Rural,1,14,6,4.96,0.41,171,74,76,99420,17,32,281604,8,3,Bank Loan,Hybrid,6,5,6,54717
Services,Education,149593,137672,11921,9384,Offline,2,30,54,29,Rural,6,6,2,7.8,0.64,625,73,62,326863,12,16,22306,3,1,Angel,Hybrid,3,3,4,7327
Manufacturing,Construction,38019,90426,-52407,24649,Offline,12,108,73,70,Rural,1,7,2,1.74,0.51,1264,65,63,150260,16,16,712461,4,8,Angel,B2B,4,2,3,-49312
Services,FMCG,48807,74550,-25743,5558,Offline,13,198,57,80,Rural,8,12,3,3.66,0.49,1075,94,79,387353,6,19,369281,5,5,Bank Loan,B2C,7,2,7,-16207
Services,IT,30589,72221,-41632,20925,Online,12,8,78,160,Urban,6,10,2,2.75,0.63,556,96,59,239651,6,49,344199,3,1,Angel,B2B,4,4,1,-44975
Manufacturing,IT,184648,56938,127710,29039,Offline,6,39,71,159,Urban,7,11,3,7.98,0.41,1393,92,67,162752,9,10,142886,3,5,VC,Hybrid,4,7,9,138970
Services,FMCG,55739,49785,5954,4415,Online,9,78,63,67,Rural,7,9,9,5.63,0.66,1861,69,84,88346,11,22,999588,6,7,Bank Loan,Hybrid,7,1,2,24753
Services,IT,67947,60865,7082,29642,Offline,11,20,67,196,Urban,6,9,4,7.82,0.63,926,86,76,185758,8,8,565710,7,8,Bank Loan,B2C,1,1,8,8279
Services,Construction,45095,64241,-19146,21235,Online,12,122,78,184,Urban,5,14,7,2.48,0.75,1303,96,78,267282,15,37,877758,4,3,Bank Loan,B2B,5,5,7,-19331
Manufacturing,IT,150035,94507,55528,6933,Offline,4,134,71,25,Urban,2,5,6,1.24,0.54,570,93,62,307450,4,23,666051,4,4,Angel,B2C,9,7,3,65144
Trading,Construction,164933,103302,61631,10339,Online,9,36,53,59,Rural,2,5,4,5.59,0.62,377,63,78,94331,2,14,654905,9,7,Bootstrapped,B2C,4,3,3,60037
Trading,Construction,30068,69460,-39392,15650,Offline,5,36,51,196,Urban,4,10,2,5.33,0.7,1987,75,65,457974,11,25,143248,7,5,Bootstrapped,B2C,4,7,2,-41930
Trading,Education,186494,26984,159510,19755,Online,1,51,77,190,Rural,7,2,8,4.58,0.34,1419,70,94,352274,12,4,930041,1,6,VC,Hybrid,2,1,2,178286
Manufacturing,Construction,199515,30029,169486,15907,Online,6,32,74,105,Urban,8,1,8,6.23,0.43,520,75,94,221541,18,44,695338,9,2,Bootstrapped,B2B,9,2,8,166563
Manufacturing,IT,41067,66033,-24966,27097,Online,9,180,69,48,Urban,2,1,3,4.84,0.4,1022,61,80,448413,2,30,313630,5,4,Bootstrapped,B2B,7,8,5,-17478
Manufacturing,Healthcare,39053,104745,-65692,23153,Offline,10,80,71,45,Rural,4,6,4,5.24,0.48,1040,95,69,57697,6,4,944550,5,4,VC,B2C,5,8,3,-66711
Services,Education,91117,49782,41335,14997,Offline,12,148,66,96,Rural,7,14,1,6.82,0.85,709,64,94,479850,8,15,244318,1,5,Bootstrapped,Hybrid,3,1,3,56508
Manufacturing,IT,123533,96845,26688,6054,Offline,8,145,69,44,Rural,5,9,6,6.69,0.53,936,86,74,80791,1,21,336571,7,7,VC,B2C,6,8,6,40309
Services,Healthcare,115961,83111,32850,19965,Both,3,197,50,90,Urban,2,13,4,5.78,0.49,1046,92,52,490507,3,6,539882,4,4,Bootstrapped,Hybrid,9,7,4,34604
Trading,Textile,167698,101005,66693,9269,Offline,11,177,92,150,Rural,9,6,4,4.44,0.78,1166,78,57,314179,8,43,551529,3,7,VC,B2C,9,4,8,69647
Manufacturing,FMCG,106226,99719,6507,6875,Offline,7,15,75,51,Rural,6,2,3,5.83,0.45,841,87,50,492210,8,9,535754,4,6,Angel,B2B,8,7,7,8085
Manufacturing,IT,93369,16893,76476,13826,Online,5,169,73,130,Urban,9,13,6,3.12,0.88,359,70,81,171136,7,47,482697,6,9,VC,B2B,7,7,2,79582
Trading,IT,60475,97666,-37191,6633,Online,9,58,78,106,Rural,4,14,3,5.61,0.9,819,89,78,464380,15,47,941831,9,3,VC,B2B,6,5,6,-17303
Services,Food,192275,26350,165925,26041,Both,7,26,66,178,Urban,9,7,2,3.81,0.5,612,93,53,460243,11,27,322579,1,7,Bootstrapped,B2B,2,9,3,183669
Manufacturing,Education,117799,108948,8851,14242,Both,4,182,92,36,Urban,9,2,3,2.06,0.56,359,96,66,495990,16,47,38633,7,9,Bootstrapped,B2B,4,6,2,21154
Trading,Healthcare,136843,86947,49896,17449,Offline,5,5,75,96,Urban,6,6,8,6.61,0.58,706,96,79,90696,10,34,933593,5,6,Angel,Hybrid,7,9,6,51261
Manufacturing,Food,69556,138723,-69167,28140,Both,1,194,64,11,Urban,4,7,5,1.82,0.38,1258,77,93,279797,5,34,729211,4,2,Bootstrapped,B2B,4,1,2,-64193
Manufacturing,IT,190588,34627,155961,28025,Offline,9,189,70,64,Rural,7,12,3,5.38,0.64,528,81,81,155924,5,43,701252,7,7,Bank Loan,B2B,3,3,3,169526
Trading,Education,31781,132358,-100577,18972,Both,13,151,52,145,Urban,8,7,4,4.32,0.3,550,67,72,323423,13,4,455935,9,5,Bootstrapped,B2B,9,7,7,-102212
Trading,Education,73473,59439,14034,16308,Both,12,5,59,119,Urban,8,8,1,1.54,0.4,1588,85,95,80063,14,42,264371,9,7,Bank Loan,Hybrid,6,5,9,31674
Manufacturing,Construction,189489,67413,122076,29281,Offline,11,192,77,188,Urban,8,11,9,3.91,0.31,580,63,95,112712,2,49,772178,8,6,Angel,B2C,8,7,5,135279
Manufacturing,Construction,199736,60203,139533,27425,Online,2,70,59,54,Urban,2,12,2,5.39,0.69,1270,94,88,350340,14,15,252037,8,9,Bank Loan,Hybrid,1,3,7,135674
Trading,IT,157941,71759,86182,13538,Both,2,80,77,101,Urban,1,3,4,7.06,0.34,509,94,83,279502,3,41,29023,6,7,Bootstrapped,Hybrid,6,6,3,88851
Trading,Education,40923,23876,17047,11654,Both,7,89,75,94,Rural,9,9,1,3.48,0.48,1466,82,81,149485,13,44,13729,7,1,Bank Loan,Hybrid,5,9,7,14934
Services,Food,41398,49650,-8252,4987,Online,2,92,89,188,Rural,7,2,4,5.9,0.5,344,90,70,221097,8,49,583228,1,7,Bootstrapped,Hybrid,4,5,6,8040
Manufacturing,FMCG,157844,82163,75681,10219,Offline,9,198,74,67,Urban,2,9,6,7.36,0.45,1001,70,63,315025,8,4,408838,5,3,VC,B2C,1,8,3,82345
Trading,Food,65201,74251,-9050,8487,Offline,13,39,50,162,Rural,1,12,2,7.23,0.66,822,84,65,450565,19,10,445840,3,1,Bootstrapped,B2B,2,8,7,-7014
Services,IT,140209,96441,43768,18252,Both,13,138,70,131,Rural,6,9,7,6.06,0.76,855,77,73,240195,9,32,827166,4,8,Bank Loan,B2B,9,9,4,63688
Services,Food,47856,88870,-41014,8008,Online,4,73,54,29,Rural,2,2,4,7.98,0.73,1218,67,52,164159,14,10,776941,5,3,Bootstrapped,Hybrid,5,4,8,-21852
Services,Construction,32940,133027,-100087,26059,Online,8,77,56,139,Rural,6,8,7,5.34,0.78,1976,82,78,225309,19,6,27118,9,2,Angel,B2C,4,7,1,-88155
Trading,Construction,122892,87833,35059,13110,Both,12,110,55,195,Rural,3,2,6,3.19,0.68,1849,78,96,69773,16,25,78968,4,9,Bootstrapped,Hybrid,7,3,7,33143
Manufacturing,FMCG,165677,71240,94437,4917,Online,4,11,79,58,Urban,9,6,8,6.69,0.35,1715,78,91,157792,13,14,961302,2,4,Angel,Hybrid,9,6,8,95023
Trading,Healthcare,168369,86894,81475,21581,Offline,9,187,66,183,Urban,8,11,3,3.14,0.34,1198,97,63,466690,16,22,162117,8,7,VC,Hybrid,8,3,4,95040
Services,Food,72335,67949,4386,17240,Both,13,133,78,65,Rural,6,4,3,7.11,0.4,715,66,76,100906,16,39,84694,7,9,Angel,Hybrid,5,1,2,4564
Trading,Healthcare,54980,37504,17476,18766,Both,1,180,54,57,Rural,3,4,3,6.87,0.7,1376,90,80,80480,18,15,783617,6,2,Angel,B2B,4,7,8,34678
Manufacturing,Food,73634,101988,-28354,10033,Offline,8,100,81,125,Rural,1,13,1,1.39,0.45,433,88,83,485281,7,30,288518,9,6,VC,B2C,8,6,2,-27874
Trading,Education,164740,141519,23221,6435,Both,5,193,71,44,Rural,5,2,1,1.96,0.47,602,61,53,296356,7,35,117357,6,1,VC,Hybrid,7,9,5,29578
Manufacturing,IT,109156,62922,46234,28312,Online,5,174,51,18,Urban,4,6,6,6.2,0.4,1545,92,67,76950,1,34,10215,4,4,VC,B2B,2,1,9,55033
Services,Textile,48899,43229,5670,7583,Online,2,91,91,65,Rural,1,13,8,6.62,0.5,328,98,91,96032,15,19,305830,6,3,Bank Loan,B2B,2,4,3,19419
Manufacturing,Education,120422,86927,33495,15929,Online,7,44,55,77,Urban,1,4,2,1.68,0.72,1969,68,96,215707,10,7,750479,4,8,Bank Loan,Hybrid,6,8,1,28640
Manufacturing,Education,199893,80776,119117,6631,Both,7,87,71,72,Urban,9,7,3,3.54,0.56,558,79,78,384248,10,35,671440,2,7,Angel,B2B,1,6,7,133941
Services,Healthcare,197112,81766,115346,25991,Offline,6,199,68,66,Urban,2,3,2,2.33,0.79,1600,65,86,56464,19,2,589802,5,5,VC,B2C,6,8,1,127863
Services,Construction,124127,111426,12701,2534,Offline,7,176,56,117,Rural,2,14,4,6.28,0.57,707,78,51,419673,18,18,745716,6,6,VC,Hybrid,9,4,1,19663
Trading,Healthcare,69589,50897,18692,19285,Online,13,101,72,32,Urban,7,12,1,1.3,0.41,803,86,54,418444,2,34,375391,7,6,Bank Loan,Hybrid,7,3,3,38157
Trading,Education,120764,122041,-1277,21112,Both,7,75,52,67,Rural,2,11,7,6.74,0.64,1303,91,55,53174,10,8,439145,2,4,Bank Loan,Hybrid,5,1,1,7643
Services,FMCG,161385,145674,15711,22462,Offline,10,55,61,65,Urban,9,14,1,2.35,0.58,1565,61,85,400321,7,14,680990,9,7,Bootstrapped,Hybrid,6,1,9,24213
Services,FMCG,65156,101442,-36286,21621,Both,9,177,73,177,Urban,8,1,1,2.62,0.81,1475,83,58,331411,17,18,325508,2,8,Bank Loan,Hybrid,5,5,2,-21714
Services,Education,98518,97844,674,27161,Online,13,149,67,51,Urban,4,5,2,2.41,0.83,256,90,53,204961,15,44,304507,9,5,Bank Loan,B2C,7,3,4,-4175
Services,Healthcare,100409,28016,72393,2153,Online,14,96,67,190,Urban,3,2,1,7.37,0.64,687,62,92,204672,3,9,115315,5,6,Bootstrapped,B2C,7,4,8,76762
Trading,FMCG,53980,71117,-17137,11344,Online,1,29,59,127,Urban,8,13,7,3.5,0.68,1459,66,90,92317,11,27,898921,7,1,Bootstrapped,B2C,9,4,3,-7996
Manufacturing,Education,179484,125489,53995,3537,Offline,14,112,79,58,Rural,1,13,8,5.76,0.7,760,87,97,431923,8,3,496121,9,7,Bank Loan,B2B,7,1,2,67885
Services,Textile,51315,147371,-96056,8701,Online,3,187,61,49,Urban,2,4,3,3.39,0.69,1257,72,85,53089,12,31,615556,3,8,VC,B2B,7,3,6,-78854
Trading,IT,120435,104242,16193,24884,Online,7,191,54,20,Rural,3,10,5,5.95,0.62,1394,62,78,465685,17,27,926295,5,9,VC,B2C,6,8,8,26093
Trading,Healthcare,170396,39054,131342,22107,Online,6,112,83,178,Rural,1,1,3,3.12,0.62,879,98,53,175865,13,35,434041,5,6,VC,B2B,9,4,2,137359
Services,Food,153316,113322,39994,5083,Online,1,78,83,15,Rural,8,13,3,4.41,0.31,751,68,51,445783,11,37,208153,5,4,Bootstrapped,B2B,8,4,6,52019
Trading,Textile,83217,104044,-20827,22116,Offline,12,54,79,176,Rural,4,8,7,4.52,0.5,1545,97,93,390053,12,11,550022,6,1,Angel,B2B,3,2,6,-16782
Services,Education,160183,118986,41197,17047,Online,5,74,70,66,Rural,7,8,1,4.0,0.34,924,91,61,367231,10,28,982361,9,4,Bootstrapped,B2B,9,7,2,51676
Trading,Healthcare,124504,56139,68365,20301,Both,7,35,56,42,Urban,5,2,2,1.7,0.54,695,94,99,73548,18,47,443917,8,8,Bank Loan,B2B,5,7,4,79980
Trading,Construction,192208,129826,62382,21641,Online,10,168,82,184,Rural,8,9,4,6.94,0.71,961,78,72,358474,16,2,790427,8,2,VC,B2C,5,9,8,73959
Trading,Construction,181297,101072,80225,13673,Offline,14,186,62,92,Urban,3,10,8,4.91,0.61,1711,61,60,165819,18,14,319732,6,2,VC,Hybrid,5,7,8,91613
Services,Textile,164587,86695,77892,15223,Offline,14,192,58,41,Rural,5,13,5,2.34,0.73,1292,74,91,67143,7,41,135851,3,4,Bank Loan,B2C,5,6,1,96594
Services,FMCG,108074,133422,-25348,25023,Online,13,172,62,160,Rural,4,8,5,3.23,0.31,1725,96,97,236720,9,13,865876,6,4,Bootstrapped,B2C,6,8,3,-7992
Trading,Textile,143076,146949,-3873,20252,Online,7,110,94,121,Rural,6,4,5,3.33,0.72,1323,96,59,489978,15,39,28830,5,3,Bank Loan,B2B,6,3,6,6712
Services,Textile,177699,30198,147501,15135,Both,8,40,74,107,Urban,4,5,3,5.48,0.81,1038,94,83,431032,14,5,927340,9,2,Bank Loan,B2B,4,5,2,146486
Manufacturing,IT,39177,145560,-106383,4911,Both,10,21,76,97,Rural,3,14,6,2.06,0.66,393,82,71,438227,17,10,404051,7,7,Bootstrapped,B2B,2,1,8,-87665
Trading,Education,89351,129934,-40583,11182,Offline,8,52,92,107,Rural,7,8,1,6.02,0.65,1490,72,64,401770,4,17,56015,4,3,Bootstrapped,Hybrid,6,1,6,-43154
Trading,Healthcare,149526,136648,12878,23972,Both,8,99,93,168,Rural,7,6,5,1.44,0.79,627,96,70,327648,18,38,833628,3,2,Bootstrapped,B2B,4,4,4,25596
Manufacturing,Education,100691,48132,52559,17366,Both,9,176,53,43,Urban,2,5,7,7.92,0.59,330,64,59,379061,19,22,73879,1,1,Bank Loan,B2B,7,5,5,71410
Manufacturing,Healthcare,21168,60124,-38956,17032,Online,14,56,89,175,Rural,3,4,2,1.07,0.76,708,88,92,135936,4,45,218137,6,9,Bootstrapped,B2C,1,7,5,-40827
Manufacturing,Healthcare,138910,111055,27855,5443,Online,4,186,74,165,Rural,5,8,5,5.06,0.47,1728,78,82,108560,13,4,160953,5,3,Bootstrapped,B2B,9,8,3,32029
Manufacturing,IT,111288,134020,-22732,22460,Online,7,184,93,118,Rural,2,5,8,7.77,0.87,1494,72,98,262566,9,18,938252,2,3,Bootstrapped,B2B,3,8,7,-26735
Trading,IT,61662,133313,-71651,17123,Online,9,21,76,184,Rural,2,14,4,6.24,0.43,1589,66,66,252278,4,41,940220,4,6,Bootstrapped,B2B,9,5,4,-59953
Services,Construction,170231,140212,30019,20627,Offline,3,156,63,78,Urban,2,10,9,5.68,0.38,897,83,60,274866,17,2,160862,9,8,Bank Loan,Hybrid,3,6,3,43395
Trading,Education,148364,51160,97204,12672,Online,13,133,59,56,Urban,7,12,6,4.12,0.88,1150,87,67,262986,7,30,39777,8,6,Angel,Hybrid,2,7,4,111360
Services,Construction,35867,77501,-41634,8654,Both,9,183,84,91,Rural,5,14,4,6.86,0.49,1535,71,51,449594,14,23,742318,7,4,Bank Loan,B2B,6,7,4,-32368
Services,IT,175086,94872,80214,7470,Offline,12,110,54,117,Urban,2,10,6,6.35,0.61,549,69,64,79661,12,18,637907,7,9,Bootstrapped,B2C,3,7,7,97414
Services,Healthcare,85185,48477,36708,21941,Online,13,62,83,53,Urban,6,2,5,4.22,0.43,313,81,59,61826,3,13,660332,1,7,VC,Hybrid,8,2,4,47565
Manufacturing,Textile,137897,118475,19422,26274,Both,5,141,76,30,Urban,8,6,4,7.1,0.55,423,96,89,280063,3,32,930631,9,8,Bank Loan,B2C,4,6,1,30427
Services,Education,33731,139647,-105916,2354,Offline,1,6,62,189,Rural,2,4,6,3.13,0.79,326,71,73,375188,7,40,371484,9,9,Bank Loan,B2C,5,8,1,-89172
Manufacturing,FMCG,140871,149479,-8608,2172,Both,3,7,54,20,Rural,7,5,8,4.83,0.73,1702,67,80,352666,13,8,259836,2,6,Bank Loan,B2C,9,4,9,-12969
Trading,Food,34799,119843,-85044,18016,Online,13,143,55,134,Rural,7,11,6,3.11,0.84,1975,84,64,310464,8,38,558912,4,1,Angel,B2C,6,2,5,-72086
Trading,Textile,80390,83369,-2979,11589,Both,5,41,79,73,Rural,2,7,1,1.72,0.65,1733,87,51,330460,9,17,106058,5,7,Bootstrapped,Hybrid,5,7,4,-2694
Trading,Food,93495,111090,-17595,5385,Online,13,159,75,137,Rural,7,10,5,1.93,0.53,1087,93,64,345135,16,32,656290,9,6,Angel,B2C,3,7,4,-18662
Services,Food,67997,22170,45827,8207,Offline,13,120,60,106,Urban,6,10,1,6.85,0.88,1169,61,76,491507,11,48,309345,1,3,Bank Loan,B2C,3,7,1,54130
Services,Construction,81720,120514,-38794,10787,Online,3,195,51,135,Rural,5,9,2,4.25,0.77,1538,69,99,81819,4,22,599872,6,1,VC,B2B,3,5,5,-19757
Manufacturing,Education,23052,59377,-36325,4302,Both,12,30,57,14,Urban,1,5,3,7.09,0.83,987,75,92,328676,2,28,931253,6,9,VC,B2C,8,8,1,-17544
Trading,Textile,163988,141150,22838,10677,Online,5,119,70,29,Urban,8,10,2,3.4,0.63,1394,89,75,338137,16,37,725637,5,6,VC,B2B,7,7,9,33005
Trading,IT,89351,85309,4042,22852,Offline,1,77,76,99,Rural,3,1,8,6.19,0.71,1770,95,90,99434,14,3,741672,9,5,VC,B2B,1,7,4,11488
Manufacturing,Education,188600,93972,94628,27212,Both,10,74,51,67,Urban,2,7,2,1.39,0.75,1226,83,97,100387,1,2,857056,1,5,VC,B2B,4,9,3,89694
Trading,FMCG,24141,85871,-61730,15247,Both,12,49,75,86,Urban,1,8,3,7.83,0.43,115,76,64,145119,15,35,777754,1,3,Bootstrapped,B2C,4,5,3,-61653
Trading,Construction,83884,99361,-15477,23457,Both,2,107,90,187,Urban,7,7,7,7.41,0.46,1661,92,86,197631,15,3,23288,7,4,Bootstrapped,Hybrid,4,2,5,-2995
Manufacturing,IT,176323,20147,156176,21456,Offline,12,60,84,121,Rural,6,4,9,5.02,0.61,694,60,54,162255,19,23,947687,4,5,VC,Hybrid,5,4,4,168916
